result,field,total,top_issuer,top_count
NA,w_dnsname_underscore_in_trd,112901,,37821
NA,n_dnsname_wildcard_left_of_public_suffix,112846,,37819
NA,e_rfc_dnsname_hyphen_in_sld,111725,,37774
NA,e_rfc_dnsname_underscore_in_sld,111725,,37774
NA,w_rfc_dnsname_underscore_in_trd,111725,,37774
NA,e_dnsname_bad_character_in_label,110901,,37499
NA,e_dnsname_contains_bare_iana_suffix,110901,,37499
NA,e_dnsname_contains_prohibited_reserved_label,110901,,37499
NA,e_dnsname_empty_label,110901,,37499
NA,e_dnsname_label_too_long,110901,,37499
NA,e_dnsname_not_valid_tld,110901,,37499
NA,e_no_underscores_before_1_6_2,110901,,37499
NA,e_underscore_not_permissible_in_dnsname,110901,,37499
NA,e_underscore_permissible_in_dnsname_if_valid_when_replaced,110901,,37499
NA,e_invalid_subject_rdn_order,110891,,37499
NA,e_sub_cert_country_name_must_appear,110891,,37499
NA,e_sub_cert_locality_name_must_appear,110891,,37499
NA,e_sub_cert_locality_name_must_not_appear,110891,,37499
NA,e_sub_cert_postal_code_must_not_appear,110891,,37499
NA,e_sub_cert_province_must_appear,110891,,37499
NA,e_sub_cert_province_must_not_appear,110891,,37499
NA,e_sub_cert_street_address_should_not_exist,110891,,37499
NA,e_sub_cert_valid_time_longer_than_39_months,110891,,37499
NA,e_sub_cert_valid_time_longer_than_825_days,110891,,37499
NA,w_ext_subject_key_identifier_not_recommended_subscriber,110891,,37499
NA,w_extra_subject_common_names,110891,,37499
NA,w_sub_cert_aia_does_not_contain_issuing_ca_url,110891,,37499
NA,w_subject_common_name_included,110891,,37499
NA,e_rfc_dnsname_empty_label,110833,,37497
NA,e_rfc_dnsname_label_too_long,110833,,37497
NA,e_empty_sct_list,110823,,37497
NA,n_contains_redacted_dnsname,110823,,37497
NA,w_ct_sct_policy_count_unsatisfied,110823,,37497
NA,e_sub_cert_key_usage_cert_sign_bit_set,107147,,35801
NA,e_sub_cert_key_usage_crl_sign_bit_set,107147,,35801
NA,e_ext_key_usage_cert_sign_without_ca,106418,,35769
NA,e_ext_key_usage_without_bits,106418,,35769
NA,e_incorrect_ku_encoding,106418,,35769
NA,e_key_usage_incorrect_length,106418,,35769
NA,e_superfluous_ku_encoding,106418,,35769
NA,w_ext_key_usage_not_critical,106418,,35769
NA,e_sub_cert_eku_server_auth_client_auth_missing,89719,,18034
NA,w_eku_critical_improperly,89651,,18032
NA,e_ext_san_dns_name_too_long,82480,testexample,15579
NA,e_ext_san_directory_name_present,81788,testexample,15579
NA,e_ext_san_edi_party_name_present,81788,testexample,15579
NA,e_ext_san_other_name_present,81788,testexample,15579
NA,e_ext_san_registered_id_present,81788,testexample,15579
NA,e_ext_san_rfc822_name_present,81788,testexample,15579
NA,e_ext_san_uniform_resource_identifier_present,81788,testexample,15579
NA,w_ext_san_critical_with_subject_dn,81788,testexample,15579
NA,e_ext_san_dns_not_ia5_string,81786,testexample,15579
NA,e_ext_san_empty_name,81786,testexample,15579
NA,e_ext_san_no_entries,81786,testexample,15579
NA,e_ext_san_not_critical_without_subject,81786,testexample,15579
NA,e_ext_san_rfc822_format_invalid,81786,testexample,15579
NA,e_ext_san_space_dns_name,81786,testexample,15579
NA,e_ext_san_uri_format_invalid,81786,testexample,15579
NA,e_ext_san_uri_host_not_fqdn_or_ip,81786,testexample,15579
NA,e_ext_san_uri_not_ia5,81786,testexample,15579
NA,e_ext_san_uri_relative,81786,testexample,15579
NA,e_international_dns_name_not_nfc,81786,testexample,15579
NA,e_international_dns_name_not_unicode,81786,testexample,15579
NA,e_san_bare_wildcard,81786,testexample,15579
NA,e_san_dns_name_includes_null_char,81786,testexample,15579
NA,e_san_dns_name_starts_with_period,81786,testexample,15579
